140,(주)케이티씨에스,각종 단체 및 기타 고객서비스 관리자,계약직,월급,1003570,"대전광역시 서구 갈마로 160 ktcs,",중소,전북지사,127.3752466,36.3365369
141,(주)핸즈온,기타 식품가공 종사원,시간제,시급,9620,부산광역시 강서구 공항앞길33번길 14 1층(대저2동) (),중소,경남지사,128.9532902,35.1790694
142,(주)화성개발,경리 사무원(건설),상용직,월급,2400000,대구광역시 북구 원대로 130 (침산3동 416-4번지) 파크드림갤러리 7층 (침산동),중소,대구지역본부,128.5835324,35.8887794
143,(주)제일산업,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,경상북도 칠곡군 지천면 창평로 67-4 67-4,중소,대구지역본부,128.4943045,35.9716984
144,(주)인텍,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,대구광역시 북구 학남로 13 (학정동),중소,대구지역본부,128.5665074,35.9486756
145,(주)이앤원,하역·적재 종사원,상용직,월급,2215400,대구광역시 달서구 성서공단북로 104  (호산동),중소,대구지역본부,128.4848731,35.8437314
146,천일칼라팩,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,경상북도 칠곡군 가산면 다부원1길 93-26 천일칼라팩,중소,대구지역본부,128.5191652,36.0486623
147,(주)미르크린,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9620,대구광역시 달성군 현풍면 테크노대로 61 4층 405호 (테크노폴리스 메가타워),중소,대구지역본부,128.453688,35.6895388
148,한밭주거복지사회적협동조합,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9620,대전광역시 서구 변동중로78번길 18 (변동)1층 ,개인,대전지역본부,127.3783876,36.3293404
149,(의료법인)삼성의료재단강북삼성병원,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,월급,2340000,서울특별시 종로구 새문안로 29 (평동),대기업,경기지역본부,126.96775,37.5684083
150,(주)행복누리,음료 조리사(바리스타 포함),상용직,월급,2100000,경기도 오산시 황새로 211  (가수동),중소,경기지역본부,127.0607059,37.1447287
151,주식회사 삼구에프에스,조련사(공연)·마술사 등 기타 시각 및 공연 예술가,상용직,시급,9620,서울특별시 구로구 디지털로31길 38-21 905호,중소,강원지사,126.8937133,37.4865238
152,주식회사 케이에스위드엔젤,모니터 요원,계약직,시급,9620,강원도 춘천시 영서로 2491 (근화동),개인,강원지사,127.7120946,37.8813346
153,재단법인 강원도사회서비스원,직업 운동선수,계약직,시급,11137,강원도 춘천시 외솔길 25 강원도사회서비스원,중소,강원지사,127.7511128,37.8573306
154,그린산업주식회사,세탁원(다림질원),계약직,월급,2050000,경상북도 포항시 북구 중흥로 231 (죽도동)9층 901호,중소,경북지사,129.3584639,36.0241134
155,(주)수강메디카,섬유·의복 분야 단순 종사원,상용직,시급,9620,경상북도 구미시 고아읍 원대로13길 66 .,개인,경북지사,128.3114012,36.1798068
156,상모초등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,경상북도 구미시 상모로 71 (상모동),"공사,공공",경북지사,128.356975,36.091265
